# raindata from George Works
date,mm
18/8/2013,6
19/8/2013,0.2
20/8/2013,4.4
21/8/2013
22/8/2013
23/8/2013
24/8/2013
25/8/2013,3.6
26/8/2013,2.2
27/8/2013,0.2
28/8/2013,6.8
29/8/2013,4.2
30/8/2013
31/8/2013,12.4
1/9/2013
2/9/2013,0.2
3/9/2013,4.4
4/9/2013,4.6
5/9/2013,12.2
6/9/2013,3.4
7/9/2013
8/9/2013
9/9/2013
10/9/2013,1.6
11/9/2013
12/9/2013,0.4
13/9/2013,0.4
14/9/2013,0.2
15/9/2013,0.2
16/9/2013,3.4
17/9/2013,1.4
18/9/2013,1.4
19/9/2013
20/9/2013
21/9/2013
22/9/2013
23/9/2013,3.2
24/9/2013,0.4
25/9/2013,0.2
26/9/2013,2
27/9/2013,0.4
28/9/2013
29/9/2013,1.8
30/9/2013
1/10/2013
2/10/2013,3.8
3/10/2013,0.6
4/10/2013,3
5/10/2013
6/10/2013
7/10/2013
8/10/2013,3.8
9/10/2013
10/10/2013,5.4
11/10/2013
12/10/2013,4.4
13/10/2013
14/10/2013,0.4
15/10/2013,0.2
16/10/2013
17/10/2013
18/10/2013,3.6
19/10/2013,4.6
20/10/2013,1
21/10/2013,12
22/10/2013
23/10/2013
24/10/2013,0.4
25/10/2013,1.4
26/10/2013
27/10/2013
28/10/2013,8
29/10/2013,3.6
30/10/2013,1
31/10/2013,1.2
1/11/2013,28.2
2/11/2013
3/11/2013
4/11/2013,3.6
5/11/2013
6/11/2013,4.6
7/11/2013
8/11/2013
9/11/2013
10/11/2013,0.4
11/11/2013,0.4
12/11/2013,4.2
13/11/2013,0.2
14/11/2013
15/11/2013
16/11/2013
17/11/2013,0.4
18/11/2013,15.6
19/11/2013
20/11/2013
21/11/2013,19.8
22/11/2013,1.8
23/11/2013,1
24/11/2013,22.6
25/11/2013,27.4
26/11/2013
27/11/2013,1.2
28/11/2013
29/11/2013,4.8
30/11/2013,2
1/12/2013
2/12/2013,1.8
3/12/2013
4/12/2013
5/12/2013,15
6/12/2013,4.6
7/12/2013,15.4
8/12/2013,27.2
9/12/2013,0.2
10/12/2013,3.2
11/12/2013,8
